codigo,titulo,endereco,bairro,estado,cidade,area,full_address,latitude,longitude,regiao,nome,preco,volume_medio,dividend_yield,patrimonio_liquido,p_vp,cotas,segmento,valorizacao_12_meses,patrimonio_liquido_em_milhoes
FFCI11,JK Financial Center,"Avenida Juscelino Kubitschek, 510",Itaim Bibi,SP,São Paulo,"5.155,00 m2","Avenida Juscelino Kubitschek, 510, São Paulo, SP",-23.5875,-46.6751,Sudeste,FDO INV IMOB RIO BRAVO RENDA CORPORATIVA,167.99,3577,0.3,370000000.0,0.98,38810000.0,Lajes Corporativas,-0.03,370.0
FFCI11,Parque Cultural Paulista,"Avenida Paulista, 37",,SP,São Paulo,"2.031,00 m2","Avenida Paulista, 37, São Paulo, SP",-23.5708,-46.6452,Sudeste,FDO INV IMOB RIO BRAVO RENDA CORPORATIVA,167.99,3577,0.3,370000000.0,0.98,38810000.0,Lajes Corporativas,-0.03,370.0
FFCI11,Parque Paulista,"Alameda Santos, 1940",Cerqueira César,SP,São Paulo,"1.151,00 m2","Alameda Santos, 1940, São Paulo, SP",-23.5605,-46.6594,Sudeste,FDO INV IMOB RIO BRAVO RENDA CORPORATIVA,167.99,3577,0.3,370000000.0,0.98,38810000.0,Lajes Corporativas,-0.03,370.0
FFCI11,Parque Santos,"Alameda Santos, 1163",Cerqueira César,SP,São Paulo,"5.135,00 m2","Alameda Santos, 1163, São Paulo, SP",-23.5654,-46.653999999999996,Sudeste,FDO INV IMOB RIO BRAVO RENDA CORPORATIVA,167.99,3577,0.3,370000000.0,0.98,38810000.0,Lajes Corporativas,-0.03,370.0
FIIP11B,C&A,"Rua Domingos Agostim, 91",Tatuapé,SP,São Paulo,"4.103,94 m2","Rua Domingos Agostim, 91, São Paulo, SP",-23.5421,-46.5762,Sudeste,RB CAPITAL RENDA I FDO INV IMOB - FII,193.0,663,0.64,180000000.0,1.0,100.0,Logística,0.08,180.0
FIVN11,Shopping Taboão Plaza Outlet,"Avenida Vida Nova, 28",Taboão da Serra,SP,São Paulo,"66.498,00 m2","Avenida Vida Nova, 28, São Paulo, SP",-23.5853,-46.8025,Sudeste,FDO INV IMOB VIDA NOVA - FII,2.9,683,0.0,82000000.0,0.33,9412630.0,Shoppings,-0.07,82.0
FLMA11,Continental Square,"Rua Olimpíadas, 205",Vila Olímpia,SP,São Paulo,"22.921,74 m2","Rua Olimpíadas, 205, São Paulo, SP",-23.5955,-46.6845,Sudeste,FDO INV IMOB CONTINENTAL SQUARE FARIA LIMA,3.5,35560,0.39,200000000.0,1.21,69033500.0,Híbrido,0.09,200.0
FMOF11,Edifício Memorial Office,"Rua Júlio Gonzáles, 132",Barra Funda,SP,São Paulo,"13.105,00 m2","Rua Júlio Gonzáles, 132, São Paulo, SP",-23.5262,-46.6711,Sudeste,FDO INV IMOB MEMORIAL OFFICE,83.49,208,0.0,68000000.0,0.63,508008.0,Lajes Corporativas,0.01,68.0
FPAB11,Torre New York e Los Angeles,"Avenida Francisco Matarazzo, 1.500",Barra Funda,SP,São Paulo,"35.810,72 m2","Avenida Francisco Matarazzo, 1.500, São Paulo, SP",-23.5258,-46.6771,Sudeste,FDO INV IMOB PROJETO ÁGUA BRANCA,350.0,60,0.51,280000000.0,0.94,750000.0,Lajes Corporativas,0.08,280.0
HGBS11,Mooca Plaza Shopping,"Rua Cap. Pacheco e Chaves, 313",Mooca,SP,São Paulo,"41.914,53 m2","Rua Cap. Pacheco e Chaves, 313, São Paulo, SP",-23.5813,-46.5938,Sudeste,CSHG BRASIL SHOPPING - FDO INV IMOB - FII,251.0,9184,0.55,1200000000.0,1.12,45000.0,Shoppings,-0.03,1200.0
HGBS11,Shopping Center Penha,"Rua DRua João Ribeiro, 304",Penha de Franca,SP,São Paulo,"29.641,92 m2","Rua DRua João Ribeiro, 304, São Paulo, SP",-23.6733,-46.6348,Sudeste,CSHG BRASIL SHOPPING - FDO INV IMOB - FII,251.0,9184,0.55,1200000000.0,1.12,45000.0,Shoppings,-0.03,1200.0
HGJH11,Edifício Metropolitan,"Rua Amauri, 255",Faria Lima,SP,São Paulo,"10.215,00 m2","Rua Amauri, 255, São Paulo, SP",-23.581,-46.6828,Sudeste,CSHG JHSF PRIME OFFICES FDO INV IMOB - FII,184.5,1165,0.44,250000000.0,1.23,165000.0,Lajes Corporativas,0.28,250.0
HGJH11,Edifício Platinum,"Rua Jerônimo da Veiga, 384",Itaim Bibi,SP,São Paulo,"2.398,00 m2","Rua Jerônimo da Veiga, 384, São Paulo, SP",-23.5818,-46.6828,Sudeste,CSHG JHSF PRIME OFFICES FDO INV IMOB - FII,184.5,1165,0.44,250000000.0,1.23,165000.0,Lajes Corporativas,0.28,250.0
HGLG11,Master Offices,"Avenida Guido Caloi, 1.935",Santo Amaro,SP,São Paulo,"14.359,00 m2","Avenida Guido Caloi, 1.935, São Paulo, SP",-23.6608,-46.7255,Sudeste,CSHG LOGÍSTICA FDO INV IMOB - FII,148.42,10614,0.48,950000000.0,1.23,7881340.0,Logística,0.03,950.0
HGRE11,BB Antônio das Chagas,Rua Antônio das Chagas 1.657,Chácara Santo Antônio,SP,São Paulo,"4.259,00 m2","Rua Antônio das Chagas 1.657, São Paulo, SP",-23.6291,-46.7046,Sudeste,CSHG REAL ESTATE FDO INV IMOB - FII,148.8,11810,0.47,1100000000.0,0.98,40000.0,Lajes Corporativas,0.02,1100.0
HGRE11,Berrini One,"Avenida Engenheiro Luís Carlos Berrini, 105",Brooklin Paulista,SP,São Paulo,"8.657,00 m2","Avenida Engenheiro Luís Carlos Berrini, 105, São Paulo, SP",-23.5985,-46.6906,Sudeste,CSHG REAL ESTATE FDO INV IMOB - FII,148.8,11810,0.47,1100000000.0,0.98,40000.0,Lajes Corporativas,0.02,1100.0
HGRE11,Centro Empresarial de São Paulo,"Avenida Maria Coelho Aguiar, 215",Santo Amaro,SP,São Paulo,"2.844,00 m2","Avenida Maria Coelho Aguiar, 215, São Paulo, SP",-23.6484,-46.7316,Sudeste,CSHG REAL ESTATE FDO INV IMOB - FII,148.8,11810,0.47,1100000000.0,0.98,40000.0,Lajes Corporativas,0.02,1100.0
HGRE11,Centro Empresarial Mario Garnero,"Avenida Brigadeiro Faria Lima, 1.485",Faria Lima,SP,São Paulo,"5.116,00 m2","Avenida Brigadeiro Faria Lima, 1.485, São Paulo, SP",-23.5704,-46.6908,Sudeste,CSHG REAL ESTATE FDO INV IMOB - FII,148.8,11810,0.47,1100000000.0,0.98,40000.0,Lajes Corporativas,0.02,1100.0
HGRE11,Contax Alegria,"Rua Alegria, 96",Brás,SP,São Paulo,"19.050,00 m2","Rua Alegria, 96, São Paulo, SP",-23.5501,-46.6166,Sudeste,CSHG REAL ESTATE FDO INV IMOB - FII,148.8,11810,0.47,1100000000.0,0.98,40000.0,Lajes Corporativas,0.02,1100.0
HGRE11,Ed. Brasilinterpart,"Avenida das Nações Unidas, 11.633",Berrini,SP,São Paulo,"890,00 m2","Avenida das Nações Unidas, 11.633, São Paulo, SP",-23.6021,-46.6951,Sudeste,CSHG REAL ESTATE FDO INV IMOB - FII,148.8,11810,0.47,1100000000.0,0.98,40000.0,Lajes Corporativas,0.02,1100.0
HGRE11,Ed. Delta Plaza,"Rua Cincinato Braga, 340",Paulista,SP,São Paulo,"3.856,00 m2","Rua Cincinato Braga, 340, São Paulo, SP",-23.568,-46.6463,Sudeste,CSHG REAL ESTATE FDO INV IMOB - FII,148.8,11810,0.47,1100000000.0,0.98,40000.0,Lajes Corporativas,0.02,1100.0
HGRE11,Ed. Faria Lima,"Avenida Brigadeiro Faria Lima, 1.355",Faria Lima,SP,São Paulo,"4.440,00 m2","Avenida Brigadeiro Faria Lima, 1.355, São Paulo, SP",-23.5695,-46.6913,Sudeste,CSHG REAL ESTATE FDO INV IMOB - FII,148.8,11810,0.47,1100000000.0,0.98,40000.0,Lajes Corporativas,0.02,1100.0
HGRE11,Ed. Park Tower - Torre II,Avenida Magalhães de Castro 4.800,Morumbi,SP,São Paulo,"1.464,00 m2","Avenida Magalhães de Castro 4.800, São Paulo, SP",-23.6014,-46.6978,Sudeste,CSHG REAL ESTATE FDO INV IMOB - FII,148.8,11810,0.47,1100000000.0,0.98,40000.0,Lajes Corporativas,0.02,1100.0
HGRE11,Ed. Paulista Star,"Alameda Campinas, 1.070",Paulista,SP,São Paulo,"10.593,00 m2","Alameda Campinas, 1.070, São Paulo, SP",-23.5697,-46.6571,Sudeste,CSHG REAL ESTATE FDO INV IMOB - FII,148.8,11810,0.47,1100000000.0,0.98,40000.0,Lajes Corporativas,0.02,1100.0
HGRE11,Ed. Roberto Sampaio Ferreira,"Rua Flórida, 1.595",Berrini,SP,São Paulo,"3.520,00 m2","Rua Flórida, 1.595, São Paulo, SP",-23.6077,-46.6934,Sudeste,CSHG REAL ESTATE FDO INV IMOB - FII,148.8,11810,0.47,1100000000.0,0.98,40000.0,Lajes Corporativas,0.02,1100.0
HGRE11,Ed. Verbo Divino,"Rua Verbo Divino, 1.661",Chácara Santo Antônio,SP,São Paulo,"13.980,00 m2","Rua Verbo Divino, 1.661, São Paulo, SP",-23.6312,-46.7113,Sudeste,CSHG REAL ESTATE FDO INV IMOB - FII,148.8,11810,0.47,1100000000.0,0.98,40000.0,Lajes Corporativas,0.02,1100.0
HGRE11,Empresarial Transatlântico,"Rua Verbo Divino, 1.488",Chácara Santo Antônio,SP,São Paulo,"1.580,00 m2","Rua Verbo Divino, 1.488, São Paulo, SP",-23.631,-46.7093,Sudeste,CSHG REAL ESTATE FDO INV IMOB - FII,148.8,11810,0.47,1100000000.0,0.98,40000.0,Lajes Corporativas,0.02,1100.0
JSRE11,WTNU III,"Rua Eugênio de Medeiros , 303",Pinheiros,SP,São Paulo,"15.867,00 m2","Rua Eugênio de Medeiros , 303, São Paulo, SP",-23.5688,-46.7005,Sudeste,JS REAL ESTATE MULTIGESTÃO - FII,105.07,11617,0.52,900000000.0,0.95,60000.0,Híbrido,0.0,900.0
KNRI11,Athenas,"Rua Doutor Fernandes Coelho, 64",Pinheiros,SP,São Paulo,"6.230,00 m2","Rua Doutor Fernandes Coelho, 64, São Paulo, SP",-23.5687,-46.69,Sudeste,KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII,151.33,27566,0.49,2600000000.0,1.05,258979.0,Híbrido,0.03,2600.0
KNRI11,Bela Paulista,"Avenida Paulista, 2.421",Consolação,SP,São Paulo,"6.521,00 m2","Avenida Paulista, 2.421, São Paulo, SP",-23.5566,-46.6622,Sudeste,KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII,151.33,27566,0.49,2600000000.0,1.05,258979.0,Híbrido,0.03,2600.0
