codigo,titulo,endereco,bairro,estado,cidade,area,full_address,latitude,longitude
VISC11,Shopping Paralela,"Avenida Luís Viana, 8544",Alphaville,BA,Salvador,"40.247,00 m2","Avenida Luís Viana, 8544, Salvador, BA",-12.9358,-38.3953
VISC11,Shopping Pátio Belém,"Tv. Padre Eutíquio, 1078",Batista Campos,PA,Belém,"21.567,00 m2","Tv. Padre Eutíquio, 1078, Belém, PA",-1.4579,-48.4954
VISC11,Shopping  Tacaruna,"Avenida Gov. Agamenon Magalhães, 153",Santo Amaro,PE,Recife,"44.950,00 m2","Avenida Gov. Agamenon Magalhães, 153, Recife, PE",-8.0607,-34.8982
VISC11,West Shopping,"EstRua do Mendanha, 555",Campo Grande,RJ,Rio de Janeiro,"41.405,00 m2","EstRua do Mendanha, 555, Rio de Janeiro, RJ",-22.8843,-43.5575
VLOL11,Vila Olímpia Corporate,"Rua Fidêncio Ramos, 302",Vila Olimpia,SP,São Paulo,"10.368,28 m2","Rua Fidêncio Ramos, 302, São Paulo, SP",-23.5947,-46.6861
VSHO11,SHOPPING BAY MARKET,"Avenida Visconde do Rio Branco, 360",Centro,RJ,Niterói,"12.043,00 m2","Avenida Visconde do Rio Branco, 360, Niterói, RJ",-22.8923,-43.124
VSHO11,SHOPPING HORTOLÂNDIA,"Rua José Camilo de Camargo, 5",Remanso Campineiro,SP,Hortolândia,"20.055,00 m2","Rua José Camilo de Camargo, 5, Hortolândia, SP",-22.863,-47.214
VSHO11,SHOPPING VALINHOS,"Rua Paiquerê, 200",Jardim Paiquere,SP,Valinhos,"13.728,00 m2","Rua Paiquerê, 200, Valinhos, SP",-22.9813,-47.0117
WPLZ11,Shopping West Plaza,"Avenida Francisco Matarazzo, s/n",Água Branca,SP,São Paulo,"33.799,34 m2","Avenida Francisco Matarazzo, s/n, São Paulo, SP",-23.5257,-46.68
XPCM11,The Corporate,"Avenida Prefeito Aristeu Ferreira da Silva, 370",Bairro dos Cavaleiros,RJ,Macaé,"18.641,00 m2","Avenida Prefeito Aristeu Ferreira da Silva, 370, Macaé, RJ",-22.3955,-41.8146
XPIN11,Centro Empresarial Atibaia (CEA),"Avenida Tégula, 444",Pte. Alta,SP,Atibaia,"17.175,00 m2","Avenida Tégula, 444, Atibaia, SP",-23.0475,-46.6748
XPIN11,Condomínio Barão de Mauá,Pte. Alta,Pte. Alta,SP,Atibaia,"50.679,00 m2","Pte. Alta, Atibaia, SP",-23.1173,-46.5499
XPLG11,CD Dia%,"Rua João de Padula, 245",Vila Bertini,SP,Americana,"30.098,00 m2","Rua João de Padula, 245, Americana, SP",-22.7211,-47.3632
XPLG11,CD Dia% Ribeirão,"Via José Luiz Galvão, 1.905",Bom Jesus,SP,Ribeirão Preto,"21.136,00 m2","Via José Luiz Galvão, 1.905, Ribeirão Preto, SP",-21.1327,-47.8598
XPLG11,CD Leroy,"Rod. dos Bandeirantes, KM 34",Condomínio Vila Verde,SP,Cajamar,"110.163,00 m2","Rod. dos Bandeirantes, KM 34, Cajamar, SP",-23.3122,-46.8271
XPLG11,CD Panasonic,"Estrada Municipal do Mandu, 250",Santa Inês,MG,Itapeva,"23.454,00 m2","Estrada Municipal do Mandu, 250, Itapeva, MG",-23.969,-48.9106
XPLG11,CD Via Varejo,"Rua Lenine Queiroz, 333",Distrito Industrial,RS,Cachoeirinha,"38.410,00 m2","Rua Lenine Queiroz, 333, Cachoeirinha, RS",-29.949,-51.0957
XPML11,Catarina Fashion Outlet,"Rodovia Castello  Branco, km. 60",,SP,São Roque,"29.506,00 m2","Rodovia Castello  Branco, km. 60, São Roque, SP",-23.4225,-47.1583
XPML11,Caxias Shopping,"Rodovia Washington Luiz, 2.895",Parque Duque,RJ,Duque de Caixas,"25.558,00 m2","Rodovia Washington Luiz, 2.895, Duque de Caixas, RJ",-22.7861,-43.2857
XPML11,Parque Shopping Belém,"Rodovia Augusto Montenegro, 4.300",Parque Verde,PA,Belém,"28.676,00 m2","Rodovia Augusto Montenegro, 4.300, Belém, PA",-1.3531,-48.4534
XPML11,Shopping Bela Vista,"Alameda  Euvaldo Luz,  92",Horto Bela Vista,BA,Salvador,"50.241,00 m2","Alameda  Euvaldo Luz,  92, Salvador, BA",-12.9698,-38.4747
XPML11,Shopping Cidade Jardim,"Avenida Magalhães de  Castro, 12.000",Cidade Jardim,SP,São Paulo,"37.671,00 m2","Avenida Magalhães de  Castro, 12.000, São Paulo, SP",-23.5925,-46.694
XPML11,Shopping Cidade São Paulo,"Avenida Paulista, 1230",Bela Vista,SP,São Paulo,"16.619,00 m2","Avenida Paulista, 1230, São Paulo, SP",-23.5638,-46.6533
XPML11,Shopping Ponta Negra,"Avenida Coronel Teixeira,  5705",Ponta Negra,AM,Manuas,"36.615,00 m2","Avenida Coronel Teixeira,  5705, Manuas, AM",-3.0786,-60.0778
XTED11,Atlântico Office,"Avenida Rui Barbosa, nº 2390",Cajueiros,RJ,Macaé,"7.012,00 m2","Avenida Rui Barbosa, nº 2390, Macaé, RJ",-22.3905,-41.7765
